3379,1
5197,2
5200,2
5203,13
5204,8
5206,20
5207,18
5209,36
5210,49
5212,53
5213,165
5216,328
5219,623
5220,132
5222,576
5223,354
5225,780
5226,1137
5228,408
5229,1468
5232,3124
5235,2138
5236,589
5238,2221
5239,1503
5241,1270
5242,1874
5244,602
5245,2325
5248,2530
5249,1
5251,1259
5252,287
5254,843
5255,537
5257,262
5258,343
5260,92
5261,406
5264,199
5267,124
5268,26
5270,41
5271,27
5273,15
5274,22
5276,1
5277,22
5280,27
5283,15
5284,5
5286,11
5287,6
5289,7
5290,9
5292,1
5293,16
5296,11
5299,11
5300,4
5302,7
5303,1
5305,12
5306,4
5308,1
5309,5
5312,10
5315,6
5316,4
5318,1
5319,4
5321,2
5322,3
5324,2
5325,6
5328,5
5331,6
5332,1
5334,5
5335,1
5337,3
5338,3
5340,2
5341,7
5344,4
5347,4
5350,3
5351,3
5353,1
5354,6
5357,7
5360,9
5363,6
5364,5
5366,1
5367,4
5370,5
5373,6
5376,2
5379,6
5380,2
5382,2
5383,4
5385,2
5386,1
5388,2
5389,4
5392,5
5395,6
5396,1
5398,2
5399,3
5401,2
5402,6
5404,2
5405,17
5408,15
5411,33
5412,4
5414,29
5415,23
5417,43
5418,70
5420,27
5421,87
5424,216
5427,151
5428,52
5430,167
5431,102
5433,86
5434,153
5436,50
5437,199
5440,195
5443,136
5444,20
5446,58
5447,37
5449,26
5450,20
5452,10
5453,19
5456,7
5459,4
5460,1
5462,2
5466,1
3876480,1
4055049,1
4201459,1
4204908,1
4393485,1
4663558,1
4740073,1
5012051,1
5049462,1
5113079,1
5351484,1
5386307,1
5453734,1
5638662,1
5719148,1
6173724,1
7112892,1
10934851,1
12278978,1
12963666,1
13066671,1
14688767,1
